gemcode,gemnaam,diflen,foutlen,wozlen,datetime,score
1948,Meierijstad,7,22,40350,2019-06-06 16:41:04.707749+02:00,99.9281
119,Meppel,1,1,18230,2019-06-06 16:41:09.617571+02:00,99.989
687,Middelburg,13,6,29071,2019-06-06 16:41:17.065071+02:00,99.9346
1842,Midden-Delfland,18,0,9355,2019-06-06 16:41:21.274089+02:00,99.8076
1731,Midden-Drenthe,7,67,17542,2019-06-06 16:41:28.172199+02:00,99.5782
1952,Midden-Groningen,173,543,25975,2019-06-06 16:41:35.093443+02:00,97.2435
815,Mill en Sint Hubert,0,8,5356,2019-06-06 16:41:39.265415+02:00,99.8506
1709,Moerdijk,81,1,19577,2019-06-06 16:41:44.192378+02:00,99.5811
1978,Molenlanden,0,0,19757,2019-06-06 16:41:51.061216+02:00,100.0
1955,Montferland,136,3,17938,2019-06-06 16:41:55.893229+02:00,99.2251
335,Montfoort,14,0,6481,2019-06-06 16:41:59.672506+02:00,99.784
944,Mook en Middelaar,2,0,4036,2019-06-06 16:42:01.008397+02:00,99.9504
1740,Neder-Betuwe,501,23,10123,2019-06-06 16:42:05.664577+02:00,94.8237
946,Nederweert,2,1,8777,2019-06-06 16:42:09.814506+02:00,99.9658
356,Nieuwegein,5,1,32315,2019-06-06 16:42:17.622929+02:00,99.9814
569,Nieuwkoop,2,7,13785,2019-06-06 16:42:22.138839+02:00,99.9347
267,Nijkerk,1,1,20860,2019-06-06 16:42:27.792272+02:00,99.9904
268,Nijmegen,373,182,94274,2019-06-06 16:42:48.689030+02:00,99.4113
1930,Nissewaard,6,608,45092,2019-06-06 16:42:58.439867+02:00,98.6383
1970,Noardeast-Fryslan,116,23,24154,2019-06-06 16:43:05.311271+02:00,99.4245
1695,Noord-Beveland,85,134,6891,2019-06-06 16:43:09.441713+02:00,96.8219
1699,Noordenveld,36,0,15937,2019-06-06 16:43:16.552123+02:00,99.7741
171,Noordoostpolder,3,18,24583,2019-06-06 16:43:22.883550+02:00,99.9146
575,Noordwijk,601,2,24742,2019-06-06 16:43:30.753550+02:00,97.5628
820,"Nuenen, Gerwen en Nederwetten",74,6,11395,2019-06-06 16:43:35.446634+02:00,99.2979
302,Nunspeet,109,12,13349,2019-06-06 16:43:40.905390+02:00,99.0936
579,Oegstgeest,0,0,12061,2019-06-06 16:43:45.616012+02:00,100.0
823,Oirschot,44,7,8424,2019-06-06 16:43:50.168233+02:00,99.3946
824,Oisterwijk,42,2,12970,2019-06-06 16:43:54.971897+02:00,99.6608
1895,Oldambt,1,0,21087,2019-06-06 16:44:00.400399+02:00,99.9953
269,Oldebroek,107,58,10535,2019-06-06 16:44:05.414456+02:00,98.4338
173,Oldenzaal,1,11,16683,2019-06-06 16:44:10.266442+02:00,99.9281
1773,Olst-Wijhe,329,1,8613,2019-06-06 16:44:14.391292+02:00,96.1686
175,Ommen,23,10,9684,2019-06-06 16:44:18.661750+02:00,99.6592
