gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
0273,Putten,18,7,11593,99.7844,12-6-2019 14:37,189
0335,Montfoort,14,0,6481,99.784,12-6-2019 14:32,190
1621,Lansingerland,39,22,27968,99.7819,12-6-2019 14:28,191
1685,Landerd,16,0,7275,99.7801,12-6-2019 14:28,192
1699,Noordenveld,36,0,15937,99.7741,12-6-2019 14:34,193
0498,Drechterland,2,21,9428,99.756,12-6-2019 14:17,194
0637,Zoetermeer,8,143,61889,99.756,12-6-2019 14:54,194
0984,Venray,50,0,19986,99.7498,12-6-2019 14:49,195
1705,Lingewaard,11,53,22057,99.7098,12-6-2019 14:29,196
0501,Brielle,27,0,9124,99.7041,12-6-2019 14:13,197
0589,Oudewater,15,0,5062,99.7037,12-6-2019 14:36,198
1667,Reusel-De Mierden,19,0,6156,99.6914,12-6-2019 14:37,199
1730,Tynaarlo,51,2,16726,99.6831,12-6-2019 14:46,200
0233,Ermelo,46,0,14302,99.6784,12-6-2019 14:20,201
0848,Son en Breugel,23,5,8332,99.6639,12-6-2019 14:43,202
0824,Oisterwijk,42,2,12970,99.6608,12-6-2019 14:35,203
0175,Ommen,23,10,9684,99.6592,12-6-2019 14:35,204
0080,Leeuwarden,240,18,72794,99.6456,12-6-2019 14:29,205
0376,Blaricum,13,8,5902,99.6442,12-6-2019 14:12,206
0796,'s-Hertogenbosch,10,308,84275,99.6227,12-6-2019 14:2,207
0451,Uithoorn,0,61,16145,99.6222,12-6-2019 14:46,208
1684,Cuijk,49,2,12995,99.6075,12-6-2019 14:14,209
0503,Delft,84,140,56914,99.6064,12-6-2019 14:15,210
0603,Rijswijk,12,122,32868,99.5923,12-6-2019 14:38,211
1723,Alphen-Chaam,19,2,5138,99.5913,12-6-2019 14:4,212
1709,Moerdijk,81,1,19577,99.5811,12-6-2019 14:32,213
1731,Midden-Drenthe,7,67,17542,99.5782,12-6-2019 14:31,214
0331,Lopik,28,1,6637,99.5631,12-6-2019 14:30,215
1859,Berkelland,101,2,22962,99.5514,12-6-2019 14:11,216
0222,Doetinchem,6,132,30293,99.5444,12-6-2019 14:16,217
1708,Steenwijkerland,118,0,23897,99.5062,12-6-2019 14:43,218
0297,Zaltbommel,68,0,13358,99.4909,12-6-2019 14:53,219
0340,Rhenen,48,1,9340,99.4754,12-6-2019 14:37,220
0626,Voorschoten,68,1,12954,99.4673,12-6-2019 14:50,221
0351,Woudenberg,30,1,5672,99.4535,12-6-2019 14:53,222
0358,Aalsmeer,2,86,15837,99.4443,12-6-2019 14:3,223
1960,West Betuwe,130,1,23502,99.4426,12-6-2019 14:51,224
1970,Noardeast-Fryslan,116,23,24154,99.4245,12-6-2019 14:34,225
0226,Duiven,60,10,11902,99.4119,12-6-2019 14:17,226
0268,Nijmegen,373,182,94278,99.4113,12-6-2019 14:33,227
0003,Appingedam,44,0,7314,99.3984,12-6-2019 14:9,228
0823,Oirschot,44,7,8424,99.3946,12-6-2019 14:34,229
0362,Amstelveen,2,307,50423,99.3872,12-6-2019 14:5,230
0177,Raalte,116,1,18184,99.3566,12-6-2019 14:37,231
0014,Groningen,872,25,135900,99.34,12-6-2019 14:22,232
0820,"Nuenen, Gerwen en Nederwetten",74,6,11396,99.298,12-6-2019 14:34,233
1586,Oost Gelre,110,3,15808,99.2852,12-6-2019 14:35,234
0024,Loppersum,38,2,5441,99.2648,12-6-2019 14:30,235
0851,Steenbergen,67,30,12807,99.2426,12-6-2019 14:43,236
1896,Zwartewaterland,78,1,10392,99.2398,12-6-2019 14:54,237
1955,Montferland,136,3,17938,99.2251,12-6-2019 14:32,238
0184,Urk,50,13,8071,99.2194,12-6-2019 14:46,239
0377,Bloemendaal,90,0,10862,99.1714,12-6-2019 14:12,240
0677,Hulst,130,5,15111,99.1066,12-6-2019 14:27,241
0482,Alblasserdam,87,0,9694,99.1025,12-6-2019 14:3,242
0086,Opsterland,121,4,13883,99.0996,12-6-2019 14:36,243
0786,Grave,54,6,6649,99.0976,12-6-2019 14:22,244
0553,Lisse,109,3,12152,99.0783,12-6-2019 14:30,245
0302,Nunspeet,109,16,13356,99.0641,12-6-2019 14:34,246
0518,'s-Gravenhage,296,0,31104,99.0484,12-6-2019 14:2,247
0296,Wijchen,195,5,19906,98.9953,12-6-2019 14:52,248
0189,Wierden,117,2,11323,98.949,12-6-2019 14:52,249
1640,Leudal,186,13,18276,98.9111,12-6-2019 14:29,250
1961,Vijfheerenlanden,307,1,28236,98.9092,12-6-2019 14:49,251
0317,Eemnes,50,0,4559,98.9033,12-6-2019 14:18,252
0715,Terneuzen,348,4,30900,98.8608,12-6-2019 14:44,253
1969,Westerkwartier,325,17,29766,98.851,12-6-2019 14:51,254
1507,Horst aan de Maas,194,45,20002,98.8051,12-6-2019 14:26,255
0106,Assen,435,1,35981,98.7882,12-6-2019 14:10,256
0252,Heumen,87,11,7772,98.7391,12-6-2019 14:25,257
1525,Teylingen,206,14,17227,98.7229,12-6-2019 14:45,258
1680,Aa en Hunze,21,147,12783,98.6858,12-6-2019 14:2,259
1728,Bladel,140,1,10541,98.6624,12-6-2019 14:12,260
1930,Nissewaard,6,608,45095,98.6384,12-6-2019 14:34,261
0225,Druten,119,1,8512,98.5902,12-6-2019 14:17,262
0269,Oldebroek,107,58,10535,98.4338,12-6-2019 14:35,263
0758,Breda,1576,7,99258,98.4052,12-6-2019 14:13,264
0417,Laren,84,21,6047,98.2636,12-6-2019 14:28,265
0059,Achtkarspelen,217,18,13192,98.2186,12-6-2019 14:3,266
0085,Ooststellingwerf,91,165,13494,98.1029,12-6-2019 14:35,267
0828,Oss,867,2,45377,98.0849,12-6-2019 14:36,268
0753,Best,280,0,14491,98.0678,12-6-2019 14:11,269
0397,Heemstede,260,0,13306,98.046,12-6-2019 14:24,270
1734,Overbetuwe,437,2,22157,98.0187,12-6-2019 14:36,271
0277,Rozendaal,14,0,682,97.9472,12-6-2019 14:41,272
0703,Reimerswaal,82,158,10608,97.7376,12-6-2019 14:37,273
0532,Stede Broec,228,0,9834,97.6815,12-6-2019 14:43,274
0654,Borsele,277,0,11495,97.5903,12-6-2019 14:12,275
0575,Noordwijk,601,2,24742,97.5628,12-6-2019 14:34,276
0383,Castricum,450,6,18373,97.5181,12-6-2019 14:14,277
0743,Asten,201,4,7988,97.4337,12-6-2019 14:10,278
1952,Midden-Groningen,173,543,25977,97.2437,12-6-2019 14:32,279
0398,Heerhugowaard,845,4,27804,96.9465,12-6-2019 14:24,280
1695,Noord-Beveland,85,134,6914,96.8325,12-6-2019 14:34,281
0150,Deventer,1543,123,51707,96.778,12-6-2019 14:16,282
0406,Huizen,417,293,21103,96.6355,12-6-2019 14:27,283
0214,Buren,393,3,11756,96.6315,12-6-2019 14:14,284
0160,Hardenberg,859,99,28200,96.6028,12-6-2019 14:23,285
0396,Heemskerk,733,30,20469,96.2724,12-6-2019 14:24,286
1690,De Wolden,423,10,11537,96.2469,12-6-2019 14:15,287
0450,Uitgeest,236,2,6314,96.2306,12-6-2019 14:46,288
1773,Olst-Wijhe,329,2,8613,96.157,12-6-2019 14:35,289
0246,Heerde,332,0,8593,96.1364,12-6-2019 14:24,290
1884,Kaag en Braassem,477,63,13770,96.0784,12-6-2019 14:27,291
0420,Medemblik,495,387,22361,96.0556,12-6-2019 14:31,292
0098,Weststellingwerf,347,183,13363,96.0338,12-6-2019 14:52,293
0385,Edam-Volendam,715,14,18071,95.9659,12-6-2019 14:18,294
1598,Koggenland,125,355,11235,95.7276,12-6-2019 14:27,295
0664,Goes,886,2,20746,95.7197,12-6-2019 14:21,296
0209,Beuningen,524,0,12229,95.7151,12-6-2019 14:12,297
